y,left_x,right_x,width
841,897,2173,1277
842,897,2173,1277
843,897,2173,1277
844,896,2174,1279
845,896,2174,1279
846,896,2174,1279
847,896,2174,1279
848,896,2174,1279
849,895,2175,1281
850,895,2175,1281
851,895,2175,1281
852,895,2175,1281
853,895,2175,1281
854,894,2176,1283
855,894,2176,1283
856,894,2176,1283
857,894,2176,1283
858,894,2176,1283
859,893,2177,1285
860,893,2177,1285
861,893,2177,1285
862,893,2177,1285
863,893,2177,1285
864,893,2177,1285
865,892,2178,1287
866,892,2178,1287
867,892,2178,1287
868,892,2178,1287
869,892,2178,1287
870,892,2178,1287
871,891,2179,1289
872,891,2179,1289
873,891,2179,1289
874,891,2179,1289
875,891,2179,1289
876,891,2179,1289
877,890,2180,1291
878,890,2180,1291
879,890,2180,1291
880,890,2180,1291
881,890,2180,1291
882,890,2180,1291
883,890,2180,1291
884,889,2181,1293
885,889,2181,1293
886,889,2181,1293
887,889,2181,1293
888,889,2181,1293
889,889,2181,1293
890,889,2181,1293
891,889,2181,1293
892,888,2182,1295
893,888,2182,1295
894,888,2182,1295
895,888,2182,1295
896,888,2182,1295
897,888,2182,1295
898,888,2182,1295
899,888,2182,1295
900,887,2183,1297
901,887,2183,1297
902,887,2183,1297
903,887,2183,1297
904,887,2183,1297
905,887,2183,1297
906,887,2183,1297
907,887,2183,1297
908,887,2183,1297
909,886,2184,1299
910,886,2184,1299
911,886,2184,1299
912,886,2184,1299
913,886,2184,1299
914,886,2184,1299
915,886,2184,1299
916,886,2184,1299
917,886,2184,1299
918,886,2184,1299
919,886,2184,1299
920,885,2185,1301
921,885,2185,1301
922,885,2185,1301
923,885,2185,1301
924,885,2185,1301
925,885,2185,1301
926,885,2185,1301
927,885,2185,1301
928,885,2185,1301
929,885,2185,1301
930,885,2185,1301
931,885,2185,1301
932,885,2185,1301
933,884,2186,1303
934,884,2186,1303
935,884,2186,1303
936,884,2186,1303
937,884,2186,1303
938,884,2186,1303
939,884,2186,1303
940,884,2186,1303
941,884,2186,1303
942,884,2186,1303
943,884,2186,1303
944,884,2186,1303
945,884,2186,1303
946,884,2186,1303
947,884,2186,1303
948,884,2186,1303
949,884,2186,1303
950,884,2186,1303
951,884,2186,1303
952,883,2187,1305
953,883,2187,1305
954,883,2187,1305
955,883,2187,1305
956,883,2187,1305
957,883,2187,1305
958,883,2187,1305
959,883,2187,1305
960,883,2187,1305
961,883,2187,1305
962,883,2187,1305
963,883,2187,1305
964,883,2187,1305
965,883,2187,1305
966,883,2187,1305
967,883,2187,1305
968,883,2187,1305
969,883,2187,1305
970,883,2187,1305
971,883,2187,1305
972,883,2187,1305
973,883,2187,1305
974,883,2187,1305
975,883,2187,1305
976,883,2187,1305
977,883,2187,1305
978,883,2187,1305
979,883,2187,1305
980,883,2187,1305
981,883,2187,1305
982,883,2187,1305
983,883,2187,1305
984,883,2187,1305
985,883,2187,1305
986,883,2187,1305
987,883,2187,1305
988,883,2187,1305
989,883,2187,1305
990,883,2187,1305
991,883,2187,1305
992,883,2187,1305
993,883,2187,1305
994,883,2187,1305
995,883,2187,1305
996,883,2187,1305
997,883,2187,1305
998,883,2187,1305
999,883,2187,1305
1000,883,2187,1305
1001,884,2186,1303
1002,884,2186,1303
1003,884,2186,1303
1004,884,2186,1303
1005,884,2186,1303
1006,884,2186,1303
1007,884,2186,1303
1008,884,2186,1303
1009,884,2186,1303
1010,884,2186,1303
1011,884,2186,1303
1012,884,2186,1303
1013,884,2186,1303
1014,884,2186,1303
1015,884,2186,1303
1016,884,2186,1303
1017,884,2186,1303
1018,884,2186,1303
1019,884,2186,1303
1020,885,2185,1301
1021,885,2185,1301
1022,885,2185,1301
1023,885,2185,1301
1024,885,2185,1301
1025,885,2185,1301
1026,885,2185,1301
1027,885,2185,1301
1028,885,2185,1301
1029,885,2185,1301
1030,885,2185,1301
1031,885,2185,1301
1032,885,2185,1301
1033,886,2184,1299
1034,886,2184,1299
1035,886,2184,1299
1036,886,2184,1299
1037,886,2184,1299
1038,886,2184,1299
1039,886,2184,1299
1040,886,2184,1299
1041,886,2184,1299
1042,886,2184,1299
1043,886,2184,1299
1044,887,2183,1297
1045,887,2183,1297
1046,887,2183,1297
1047,887,2183,1297
1048,887,2183,1297
1049,887,2183,1297
1050,887,2183,1297
1051,887,2183,1297
1052,887,2183,1297
1053,888,2182,1295
1054,888,2182,1295
1055,888,2182,1295
1056,888,2182,1295
1057,888,2182,1295
1058,888,2182,1295
1059,888,2182,1295
1060,888,2182,1295
1061,889,2181,1293
1062,889,2181,1293
1063,889,2181,1293
1064,889,2181,1293
1065,889,2181,1293
1066,889,2181,1293
1067,889,2181,1293
1068,889,2181,1293
1069,890,2180,1291
1070,890,2180,1291
1071,890,2180,1291
1072,890,2180,1291
1073,890,2180,1291
1074,890,2180,1291
1075,890,2180,1291
1076,891,2179,1289
1077,891,2179,1289
1078,891,2179,1289
1079,891,2179,1289
1080,891,2179,1289
1081,891,2179,1289
1082,892,2178,1287
1083,892,2178,1287
1084,892,2178,1287
1085,892,2178,1287
1086,892,2178,1287
1087,892,2178,1287
1088,893,2177,1285
1089,893,2177,1285
1090,893,2177,1285
1091,893,2177,1285
1092,893,2177,1285
1093,893,2177,1285
1094,894,2176,1283
1095,894,2176,1283
1096,894,2176,1283
1097,894,2176,1283
1098,894,2176,1283
1099,895,2175,1281
1100,895,2175,1281
1101,895,2175,1281
1102,895,2175,1281
1103,895,2175,1281
1104,896,2174,1279
1105,896,2174,1279
1106,896,2174,1279
1107,896,2174,1279
1108,896,2174,1279
1109,897,2173,1277
1110,897,2173,1277
1111,897,2173,1277
1112,897,2173,1277
1113,897,2173,1277
1114,898,2172,1275
1115,898,2172,1275
1116,898,2172,1275
1117,898,2172,1275
1118,899,2171,1273
1119,899,2171,1273
1120,899,2171,1273
1121,899,2171,1273
1122,899,2171,1273
1123,900,2170,1271
1124,900,2170,1271
1125,900,2170,1271
1126,900,2170,1271
1127,901,2169,1269
1128,901,2169,1269
1129,901,2169,1269
1130,901,2169,1269
1131,902,2168,1267
1132,902,2168,1267
1133,902,2168,1267
1134,902,2168,1267
1135,903,2167,1265
1136,903,2167,1265
1137,903,2167,1265
1138,903,2167,1265
1139,904,2166,1263
1140,904,2166,1263
1141,904,2166,1263
1142,904,2166,1263
1143,905,2165,1261
1144,905,2165,1261
1145,905,2165,1261
1146,905,2165,1261
1147,906,2164,1259
1148,906,2164,1259
1149,906,2164,1259
1150,907,2163,1257
1151,907,2163,1257
1152,907,2163,1257
1153,907,2163,1257
1154,908,2162,1255
1155,908,2162,1255
1156,908,2162,1255
1157,908,2162,1255
1158,909,2161,1253
1159,909,2161,1253
1160,909,2161,1253
1161,910,2160,1251
1162,910,2160,1251
1163,910,2160,1251
1164,911,2159,1249
1165,911,2159,1249
1166,911,2159,1249
1167,911,2159,1249
1168,912,2158,1247
1169,912,2158,1247
1170,912,2158,1247
1171,913,2157,1245
1172,913,2157,1245
1173,913,2157,1245
1174,914,2156,1243
1175,914,2156,1243
1176,914,2156,1243
1177,915,2155,1241
1178,915,2155,1241
1179,915,2155,1241
1180,916,2154,1239
1181,916,2154,1239
1182,916,2154,1239
1183,917,2153,1237
1184,917,2153,1237
1185,917,2153,1237
1186,918,2152,1235
1187,918,2152,1235
1188,918,2152,1235
1189,919,2151,1233
1190,919,2151,1233
1191,919,2151,1233
1192,920,2150,1231
1193,920,2150,1231
1194,920,2150,1231
1195,921,2149,1229
1196,921,2149,1229
1197,921,2149,1229
1198,922,2148,1227
1199,922,2148,1227
1200,922,2148,1227
1201,923,2147,1225
1202,923,2147,1225
1203,924,2146,1223
1204,924,2146,1223
1205,924,2146,1223
1206,925,2145,1221
1207,925,2145,1221
1208,926,2144,1219
1209,926,2144,1219
1210,926,2144,1219
1211,927,2143,1217
1212,927,2143,1217
1213,928,2142,1215
1214,928,2142,1215
1215,928,2142,1215
1216,929,2141,1213
1217,929,2141,1213
1218,930,2140,1211
1219,930,2140,1211
1220,930,2140,1211
1221,931,2139,1209
1222,931,2139,1209
1223,932,2138,1207
1224,932,2138,1207
1225,932,2138,1207
1226,933,2137,1205
1227,933,2137,1205
1228,933,2137,1205
1229,934,2136,1203
1230,934,2136,1203
1231,935,2135,1201
1232,935,2135,1201
1233,936,2134,1199
1234,936,2134,1199
1235,937,2133,1197
1236,937,2133,1197
1237,937,2133,1197
1238,938,2132,1195
1239,938,2132,1195
1240,939,2131,1193
1241,939,2131,1193
1242,940,2130,1191
1243,940,2130,1191
1244,941,2129,1189
1245,941,2129,1189
1246,942,2128,1187
1247,942,2128,1187
1248,942,2128,1187
1249,943,2127,1185
1250,943,2127,1185
1251,944,2126,1183
1252,944,2126,1183
1253,945,2125,1181
1254,945,2125,1181
1255,946,2124,1179
1256,946,2124,1179
1257,946,2124,1179
1258,947,2123,1177
1259,947,2123,1177
1260,948,2122,1175
1261,948,2122,1175
1262,949,2121,1173
1263,949,2121,1173
1264,950,2120,1171
1265,950,2120,1171
1266,951,2119,1169
1267,952,2118,1167
1268,952,2118,1167
1269,953,2117,1165
1270,953,2117,1165
1271,954,2116,1163
1272,954,2116,1163
1273,955,2115,1161
1274,955,2115,1161
1275,956,2114,1159
1276,956,2114,1159
1277,957,2113,1157
1278,957,2113,1157
1279,958,2112,1155
1280,958,2112,1155
1281,959,2111,1153
1282,959,2111,1153
1283,960,2110,1151
1284,960,2110,1151
1285,961,2109,1149
1286,961,2109,1149
1287,962,2108,1147
1288,962,2108,1147
1289,963,2107,1145
1290,963,2107,1145
1291,964,2106,1143
1292,965,2105,1141
1293,965,2105,1141
1294,966,2104,1139
1295,966,2104,1139
1296,967,2103,1137
1297,967,2103,1137
1298,968,2102,1135
1299,969,2101,1133
1300,969,2101,1133
1301,970,2100,1131
1302,970,2100,1131
1303,971,2099,1129
1304,972,2098,1127
1305,972,2098,1127
1306,973,2097,1125
1307,973,2097,1125
1308,974,2096,1123
1309,974,2096,1123
1310,975,2095,1121
1311,976,2094,1119
1312,976,2094,1119
1313,977,2093,1117
1314,977,2093,1117
1315,978,2092,1115
1316,979,2091,1113
1317,979,2091,1113
1318,980,2090,1111
1319,980,2090,1111
1320,981,2089,1109
1321,982,2088,1107
1322,982,2088,1107
1323,983,2087,1105
1324,984,2086,1103
1325,984,2086,1103
1326,985,2085,1101
1327,986,2084,1099
1328,986,2084,1099
1329,987,2083,1097
1330,988,2082,1095
1331,988,2082,1095
1332,989,2081,1093
1333,989,2081,1093
1334,990,2080,1091
1335,991,2079,1089
1336,991,2079,1089
1337,992,2078,1087
1338,993,2077,1085
1339,993,2077,1085
1340,994,2076,1083
1341,995,2075,1081
1342,995,2075,1081
1343,996,2074,1079
1344,997,2073,1077
1345,997,2073,1077
1346,998,2072,1075
1347,999,2071,1073
1348,1000,2070,1071
1349,1000,2070,1071
1350,1001,2069,1069
1351,1002,2068,1067
1352,1002,2068,1067
1353,1003,2067,1065
1354,1004,2066,1063
1355,1005,2065,1061
1356,1005,2065,1061
1357,1006,2064,1059
1358,1007,2063,1057
1359,1007,2063,1057
1360,1008,2062,1055
1361,1009,2061,1053
1362,1009,2061,1053
1363,1010,2060,1051
1364,1011,2059,1049
1365,1012,2058,1047
1366,1012,2058,1047
1367,1013,2057,1045
1368,1014,2056,1043
1369,1015,2055,1041
1370,1015,2055,1041
1371,1016,2054,1039
1372,1017,2053,1037
1373,1018,2052,1035
1374,1019,2051,1033
1375,1019,2051,1033
1376,1020,2050,1031
1377,1021,2049,1029
1378,1022,2048,1027
1379,1023,2047,1025
1380,1023,2047,1025
1381,1024,2046,1023
1382,1025,2045,1021
1383,1026,2044,1019
1384,1026,2044,1019
1385,1027,2043,1017
1386,1028,2042,1015
1387,1029,2041,1013
1388,1030,2040,1011
1389,1030,2040,1011
1390,1031,2039,1009
1391,1032,2038,1007
1392,1033,2037,1005
1393,1034,2036,1003
1394,1035,2035,1001
1395,1035,2035,1001
1396,1036,2034,999
1397,1037,2033,997
1398,1038,2032,995
1399,1039,2031,993
1400,1040,2030,991
1401,1041,2029,989
1402,1041,2029,989
1403,1042,2028,987
1404,1043,2027,985
1405,1044,2026,983
1406,1045,2025,981
1407,1046,2024,979
1408,1047,2023,977
1409,1048,2022,975
1410,1048,2022,975
1411,1049,2021,973
1412,1050,2020,971
1413,1051,2019,969
1414,1052,2018,967
1415,1053,2017,965
