x,top_y,bottom_y,height
1274,324,1628,1305
1275,324,1628,1305
1276,324,1628,1305
1277,324,1628,1305
1278,324,1628,1305
1279,324,1628,1305
1280,324,1628,1305
1281,324,1628,1305
1282,324,1628,1305
1283,324,1628,1305
1284,324,1628,1305
1285,324,1628,1305
1286,324,1628,1305
1287,324,1628,1305
1288,324,1628,1305
1289,324,1628,1305
1290,324,1628,1305
1291,324,1628,1305
1292,324,1628,1305
1293,324,1628,1305
1294,324,1628,1305
1295,324,1628,1305
1296,324,1628,1305
1297,324,1628,1305
1298,324,1628,1305
1299,324,1628,1305
1300,324,1628,1305
1301,324,1628,1305
1302,324,1628,1305
1303,324,1628,1305
1304,324,1628,1305
1305,324,1628,1305
1306,324,1628,1305
1307,324,1628,1305
1308,324,1628,1305
1309,324,1628,1305
1310,324,1628,1305
1311,324,1628,1305
1312,324,1628,1305
1313,324,1628,1305
1314,324,1628,1305
1315,324,1628,1305
1316,324,1628,1305
1317,324,1628,1305
1318,324,1628,1305
1319,324,1628,1305
1320,324,1628,1305
1321,324,1628,1305
1322,324,1628,1305
1323,324,1628,1305
1324,324,1628,1305
1325,324,1628,1305
1326,324,1628,1305
1327,324,1628,1305
1328,324,1628,1305
1329,324,1628,1305
1330,324,1628,1305
1331,324,1628,1305
1332,324,1628,1305
1333,324,1628,1305
1334,324,1628,1305
1335,324,1628,1305
1336,324,1628,1305
1337,324,1628,1305
1338,324,1628,1305
1339,324,1628,1305
1340,324,1628,1305
1341,324,1628,1305
1342,324,1628,1305
1343,324,1628,1305
1344,324,1628,1305
1345,324,1628,1305
1346,324,1628,1305
1347,324,1628,1305
1348,324,1628,1305
1349,324,1628,1305
1350,324,1628,1305
1351,324,1628,1305
1352,324,1628,1305
1353,324,1628,1305
1354,324,1628,1305
1355,324,1628,1305
1356,324,1628,1305
1357,324,1628,1305
1358,324,1628,1305
1359,324,1628,1305
1360,324,1628,1305
1361,324,1628,1305
1362,324,1628,1305
1363,324,1628,1305
1364,324,1628,1305
1365,324,1628,1305
1366,324,1628,1305
1367,324,1628,1305
1368,324,1628,1305
1369,324,1628,1305
1370,324,1628,1305
1371,324,1628,1305
1372,324,1628,1305
1373,324,1628,1305
1374,324,1628,1305
1375,324,1628,1305
1376,324,1628,1305
1377,324,1628,1305
1378,324,1628,1305
1379,324,1628,1305
1380,324,1628,1305
1381,324,1628,1305
1382,324,1628,1305
1383,324,1628,1305
1384,324,1628,1305
1385,324,1628,1305
1386,324,1628,1305
1387,324,1628,1305
1388,324,1628,1305
1389,324,1628,1305
1390,324,1628,1305
1391,324,1628,1305
1392,324,1628,1305
1393,324,1628,1305
1394,324,1628,1305
1395,324,1628,1305
1396,324,1628,1305
1397,324,1628,1305
1398,324,1628,1305
1399,324,1628,1305
1400,324,1628,1305
1401,324,1628,1305
1402,324,1628,1305
1403,324,1628,1305
1404,324,1628,1305
1405,324,1628,1305
1406,324,1628,1305
1407,324,1628,1305
1408,324,1628,1305
1409,324,1628,1305
1410,324,1628,1305
1411,324,1628,1305
1412,324,1628,1305
1413,324,1628,1305
1414,324,1628,1305
1415,324,1628,1305
1416,324,1628,1305
1417,324,1628,1305
1418,324,1628,1305
1419,324,1628,1305
1420,324,1628,1305
1421,324,1628,1305
1422,324,1628,1305
1423,324,1628,1305
1424,324,1628,1305
1425,324,1628,1305
1426,324,1628,1305
1427,324,1628,1305
1428,324,1628,1305
1429,324,1628,1305
1430,324,1628,1305
1431,324,1628,1305
1432,324,1628,1305
